HBA,HBD,TPSA,dipole,excitation_energy_1,excitation_energy_2,excitation_energy_3,excitation_energy_4,homo_energy,homo_lumo_gap,logP,lumo_energy,melting_point,molecular_refractivity,oscillator_strength_1,oscillator_strength_2,oscillator_strength_3,oscillator_strength_4,pccdb_id,smiles
3,1,54.37,1.02,3.25,5.054,5.77,5.929,-7.026,4.893,0.686,-2.133,71.99,32.93,0.0,0.0,0.0016,0.0063,70,CC(CC(=O)C(=O)O)C
5,2,91.67,2.98,3.266,4.608,5.046,5.724,-7.143,4.882,-0.105,-2.261,149.15,34.7,0.0001,0.0067,0.0,0.0006,71,OC(=O)CCCC(=O)C(=O)O
4,3,77.76,4.57,4.542,4.805,5.004,5.186,-6.207,5.075,0.796,-1.132,176.59,37.45,0.0959,0.0291,0.0544,0.0007,72,OC(=O)c1ccc(c(c1)O)O
2,1,43.09,2.24,4.302,5.159,5.661,6.345,-6.441,5.894,0.234,-0.547,61.4,19.44,0.0002,0.0007,0.0166,0.0076,75,NCCC=O
5,3,94.83,3.62,5.353,5.534,6.11,6.607,-7.486,6.876,-0.067,-0.61,156.73,40.51,0.0041,0.0018,0.0011,0.0015,77,OC(=O)C[C@@](C(=O)O)(C(C)C)O
2,0,36.68,3.87,4.502,4.927,5.204,5.652,-7.619,5.782,0.953,-1.837,56.56,28.95,0.0007,0.0033,0.0696,0.1839,79,N#Cc1cccnc1
5,3,94.83,2.09,3.061,4.229,4.505,4.904,-6.95,4.329,-1.308,-2.62,144.35,37.47,0.0009,0.0041,0.0054,0.0233,80,O[C@H]1CC(=CC(=O)[C@@H]1O)C(=O)O
4,3,83.55,4.99,3.805,4.587,4.893,4.955,-5.461,4.387,1.254,-1.075,185.78,39.83,0.0979,0.0022,0.0074,0.0056,86,OC(=O)c1cccc(c1N)O
3,2,57.53,5.45,5.594,6.209,6.874,6.937,-6.999,7.505,-0.301,0.506,70.54,24.28,0.0009,0.0016,0.0025,0.0022,87,OC[C@@H](C(=O)O)C
3,2,57.53,5.18,5.004,5.248,5.45,5.612,-6.109,5.929,1.409,-0.18,123.96,44.82,0.0395,0.0002,0.003,0.0156,91,OC(=O)CCc1cccc(c1)O
5,2,91.67,6.18,4.477,4.727,5.56,5.666,-7.021,5.295,-0.105,-1.725,149.15,34.7,0.0009,0.0023,0.0017,0.0111,93,OC(=O)CCC(=O)CC(=O)O
7,5,135.29,4.26,4.234,4.872,5.375,5.708,-7.353,5.785,-3.285,-1.567,146.46,37.58,0.001,0.0256,0.0008,0.0043,95,OC[C@@H]([C@@H](C(=O)[C@@H](C(=O)O)O)O)O
3,1,54.37,5.23,4.557,5.209,5.692,6.113,-7.298,5.826,0.05,-1.472,73.31,23.31,0.0017,0.0185,0.0009,0.0004,96,CC(=O)CC(=O)O
4,2,93.17,0.36,3.169,3.857,5.057,5.535,-6.934,4.555,-0.43,-2.378,94.24,26.44,0.0081,0.0213,0.0016,0.0063,98,OC(=O)C(=O)CS
2,2,40.46,2.34,4.971,5.258,5.635,5.896,-6.016,5.883,0.884,-0.133,66.74,34.59,0.0386,0.0001,0.014,0.005,102,OCc1cccc(c1)O
4,1,63.6,4.9,5.347,5.543,5.553,6.05,-7.075,6.079,0.292,-0.996,98.83,31.42,0.0534,0.0013,0.0086,0.0025,104,OC(=O)CC1=CCC(=O)O1
2,1,37.3,5.06,5.29,5.52,5.811,6.033,-6.983,6.348,1.704,-0.634,82.98,42.79,0.0009,0.0049,0.0339,0.0021,107,OC(=O)CCc1ccccc1
3,1,50.19,3.58,4.708,5.031,5.173,5.56,-7.159,5.845,0.709,-1.314,99.15,35.78,0.0059,0.0007,0.0423,0.0548,108,OC(=O)Cc1cccnc1
5,3,119.83,2.64,5.277,5.606,5.64,6.038,-7.08,6.253,0.186,-0.827,177.49,30.86,0.0026,0.0156,0.0036,0.0065,109,O[S](C[C@@H](C(=O)O)N)[O]
5,2,110.88,2.27,3.147,3.843,4.926,5.099,-7.246,4.582,-0.273,-2.664,144.63,28.36,0.0023,0.0507,0.0005,0.0007,110,O[S](CC(=O)C(=O)O)[O]
